Name,Bond,Formation Energy per atom,Link
Sc,ScC2,-0.423 eV/atom,https://next-gen.materialsproject.org/materials/mp-29941?chemsys=Sc-C
Ti,TiC,-0.809 eV/atom,https://next-gen.materialsproject.org/materials/mp-631?chemsys=Ti-C
V,V2C,-0.471 eV/atom,https://next-gen.materialsproject.org/materials/mp-20648?chemsys=V-C
Cr,Cr23C6,-0.071 eV/atom,https://next-gen.materialsproject.org/materials/mp-723?chemsys=Cr-C
Mn,Mn23C6,-0.094 eV/atom,https://next-gen.materialsproject.org/materials/mp-542830?chemsys=Mn-C
Fe,Fe3C,0.056 eV/atom,https://next-gen.materialsproject.org/materials/mp-13154?_sort_fields=energy_above_hull&chemsys=Fe-C
Co,Co2C,0.126 eV/atom,https://next-gen.materialsproject.org/materials/mp-22488?_sort_fields=energy_above_hull&chemsys=Co-C
Ni,Ni3C,0.059 eV/atom,https://next-gen.materialsproject.org/materials/mp-7586?_sort_fields=energy_above_hull&chemsys=Ni-C
Cu,CuC6,1.332 eV/atom,https://next-gen.materialsproject.org/materials/mp-1213653?_sort_fields=energy_above_hull&chemsys=Cu-C
Zn,Zn3C,1.040 eV/atom,https://next-gen.materialsproject.org/materials/mp-971857?_sort_fields=energy_above_hull&chemsys=Zn-C
Y,Y2C,-0.263 eV/atom,https://next-gen.materialsproject.org/materials/mp-1334?_sort_fields=energy_above_hull&chemsys=Y-C
Zr,ZrC,-0.804 eV/atom,https://next-gen.materialsproject.org/materials/mp-2795?_sort_fields=energy_above_hull&chemsys=Zr-C
Nb,Nb2C,-0.466 eV/atom,https://next-gen.materialsproject.org/materials/mp-569989?_sort_fields=energy_above_hull&chemsys=Nb-C
Mo,Mo2C,-0.113 eV/atom,https://next-gen.materialsproject.org/materials/mp-1552?_sort_fields=energy_above_hull&chemsys=Mo-C
Tc,TcC,0.558 eV/atom,https://next-gen.materialsproject.org/materials/mp-1009848?_sort_fields=energy_above_hull&chemsys=Tc-C
Ru,RuC,0.649 eV/atom,https://next-gen.materialsproject.org/materials/mp-10030?_sort_fields=energy_above_hull&chemsys=Ru-C
Rh,RhC,0.561 eV/atom,https://next-gen.materialsproject.org/materials/mp-1009696?_sort_fields=energy_above_hull&chemsys=Rh-C
Pd,PdC,1.216 eV/atom,https://next-gen.materialsproject.org/materials/mp-1009538?_sort_fields=energy_above_hull&chemsys=Pd-C
Ag,AgC,1.390 eV/atom,https://next-gen.materialsproject.org/materials/mp-1214982?_sort_fields=energy_above_hull&chemsys=Ag-C
Cd,Cd3C,1.248 eV/atom,https://next-gen.materialsproject.org/materials/mp-1183622?_sort_fields=energy_above_hull&chemsys=Cd-C
Hf,HfC,-0.939 eV/atom,https://next-gen.materialsproject.org/materials/mp-21075?_sort_fields=energy_above_hull&chemsys=Hf-C
Ta,Ta2C,-0.591 eV/atom,https://next-gen.materialsproject.org/materials/mp-7088?_sort_fields=energy_above_hull&chemsys=Ta-C
W,WC,-0.122 eV/atom,https://next-gen.materialsproject.org/materials/mp-1894?_sort_fields=energy_above_hull&chemsys=W-C
Re,Re2C,-0.027 eV/atom,https://next-gen.materialsproject.org/materials/mp-974437?_sort_fields=energy_above_hull&chemsys=Re-C
Os,OsC,0.916 eV/atom,https://next-gen.materialsproject.org/materials/mp-7142?_sort_fields=energy_above_hull&chemsys=Os-C
Ir,IrC,0.532 eV/atom,https://next-gen.materialsproject.org/materials/mp-1001789?_sort_fields=energy_above_hull&chemsys=Ir-C
Pt,PtC,0.911 eV/atom,https://next-gen.materialsproject.org/materials/mp-1018164?_sort_fields=energy_above_hull&chemsys=Pt-C
Au,AuC2,1.543 eV/atom,https://next-gen.materialsproject.org/materials/mp-1214766?_sort_fields=energy_above_hull&chemsys=Au-C
Hg,Hg3C,1.515 eV/atom,https://next-gen.materialsproject.org/materials/mp-973461?_sort_fields=energy_above_hull&chemsys=Hg-C
La,La2C3,-0.166 eV/atom,https://next-gen.materialsproject.org/materials/mp-1184?_sort_fields=energy_above_hull&chemsys=La-C
Al,Al4C3,-0.091 eV/atom,https://next-gen.materialsproject.org/materials/mp-1591?chemsys=Al-C
Si,SiC,-0.204 eV/atom,https://next-gen.materialsproject.org/materials/mp-1204356?chemsys=Si-C
