Composition,Predicted EFA,Average Formation Enthalpy,Formation Gap,Radius Mismatch,Electronegativity Mismatch,Carbon Affinity,Magnetic Disorder Risk Index,Minimum Carbide Melting Point,Average Valence Count,Carbide Formation Deviation Index,Metastable Segregation Index,norm_efa,norm_afe,norm_fg,norm_rmis,norm_xmis,norm_ca,norm_mdri,norm_mp,norm_vec,norm_cfdi,norm_msi,Normalized Score
(CrHfMoNbRe)C5,,-0.339800000,0.783200000,0.073231693,0.289937924,0.173,0,2271,5.600000000,0.453749446,-0.409,,0.339099474,0.118079132,0.382835276,0.456053864,0.000000014,0,0,0.833333330,0.189052121,0.000000000,
(CrHfMoNbSc)C5,,-0.384200000,0.738800000,0.074627326,0.304473316,0.173,0,2271,4.800000000,0.433942577,0.037,,0.395573653,0.175293168,0.365472558,0.421889278,0.000000014,0,0,0.499999998,0.230957391,0.576972826,
(CrHfMoNbTa)C5,,-0.461000000,0.662000000,0.074786302,0.285489054,0.173,0,2271,5.200000000,0.441730687,-0.104,,0.493258719,0.274257988,0.363494771,0.466510673,0.000000014,0,0,0.666666664,0.214480134,0.394566618,
(CrHfMoNbTi)C5,,-0.522200000,0.600800000,0.080177380,0.281879407,0.173,0,2271,5.000000000,0.484089826,0.037,,0.571101506,0.353120579,0.296425721,0.474994938,0.000000014,0,0,0.583333331,0.124861169,0.576972826,
(CrHfMoNbV)C5,,-0.428000000,0.695000000,0.085315107,0.276983754,0.173,0,2271,5.200000000,0.431756876,0.037,,0.451284667,0.231734042,0.232508547,0.486501883,0.000000014,0,0,0.666666664,0.235581664,0.576972826,
(CrHfMoNbW)C5,,-0.360000000,0.763000000,0.072848281,0.387690598,0.173,0,2271,5.400000000,0.442644327,-0.169,,0.364792682,0.144108941,0.387605209,0.226291929,0.000000014,0,0,0.749999997,0.212547153,0.310478651,
(CrHfMoNbY)C5,,-0.363600000,0.759400000,0.083812450,0.331927703,0.173,0,2271,4.800000000,0.441024534,0.037,,0.369371669,0.148747917,0.251202726,0.357359349,0.000000014,0,0,0.499999998,0.215974137,0.576972826,
(CrHfMoNbZr)C5,,-0.532000000,0.591000000,0.078512397,0.309709541,0.173,0,2271,5.000000000,0.493361936,0.004,,0.583566528,0.365748902,0.317139365,0.409581836,0.000000014,0,0,0.583333331,0.105244224,0.534282011,
(CrHfMoReSc)C5,,-0.287600000,0.835400000,0.071700691,0.324320829,0.173,0,2271,5.200000000,0.443062795,-0.409,,0.272704156,0.050813981,0.401882089,0.375238861,0.000000014,0,0,0.666666664,0.211661803,0.000000000,
(CrHfMoReTa)C5,,-0.364400000,0.758600000,0.074394669,0.301038204,0.173,0,2271,5.600000000,0.466864263,-0.409,,0.370389222,0.149778801,0.368366986,0.429963308,0.000000014,0,0,0.833333330,0.161305185,0.000000000,
(CrHfMoReTi)C5,,-0.425600000,0.697400000,0.076318669,0.296000000,0.173,0,2271,5.400000000,0.518655030,-0.409,,0.448232009,0.228641391,0.344430982,0.441805310,0.000000014,0,0,0.749999997,0.051731784,0.000000000,
(CrHfMoReV)C5,,-0.331400000,0.791600000,0.081047039,0.287610848,0.173,0,2271,5.600000000,0.450416074,-0.409,,0.328415170,0.107254855,0.285606517,0.461523520,0.000000014,0,0,0.833333330,0.196104515,0.000000000,
(CrHfMoReW)C5,,-0.263400000,0.859600000,0.071301082,0.372537246,0.173,0,2271,5.800000000,0.446382168,-0.409,,0.241923184,0.019629754,0.406853532,0.261908995,0.000000014,0,0,0.916666663,0.204639025,0.000000000,
(CrHfMoReY)C5,,-0.267000000,0.856000000,0.085188652,0.354987324,0.173,0,2271,5.200000000,0.445557179,-0.409,,0.246502172,0.024268730,0.234081742,0.303159061,0.000000014,0,0,0.666666664,0.206384449,0.000000000,
(CrHfMoReZr)C5,,-0.435400000,0.687600000,0.079056769,0.330333165,0.173,0,2271,5.400000000,0.529111935,-0.409,,0.460697031,0.241269715,0.310366963,0.361107216,0.000000014,0,0,0.749999997,0.029608175,0.000000000,
(CrHfMoScTa)C5,,-0.408800000,0.714200000,0.075890742,0.308129843,0.173,0,2271,4.800000000,0.445191375,-0.104,,0.426863401,0.206992837,0.349754721,0.413294825,0.000000014,0,0,0.499999998,0.207158380,0.394566618,
(CrHfMoScTi)C5,,-0.470000000,0.653000000,0.076404167,0.306045748,0.173,0,2271,4.600000000,0.493762696,0.085,,0.504706188,0.285855428,0.343367322,0.418193368,0.000000014,0,0,0.416666665,0.104396339,0.639068556,
(CrHfMoScV)C5,,-0.375800000,0.747200000,0.080874447,0.304394481,0.173,0,2271,4.800000000,0.431321411,0.085,,0.384889349,0.164468891,0.287753690,0.422074575,0.000000014,0,0,0.499999998,0.236502974,0.639068556,
(CrHfMoScW)C5,,-0.307800000,0.815200000,0.072419660,0.424565660,0.173,0,2271,5.000000000,0.434118601,-0.169,,0.298397363,0.076843790,0.392937577,0.139619255,0.000000014,0,0,0.583333331,0.230584977,0.310478651,
(CrHfMoScY)C5,,-0.311400000,0.811600000,0.087152086,0.343860437,0.173,0,2271,4.400000000,0.432901190,0.085,,0.302976351,0.081482766,0.209655152,0.329312157,0.000000014,0,0,0.333333332,0.233160647,0.639068556,
(CrHfMoScZr)C5,,-0.479800000,0.643200000,0.080814823,0.325723809,0.173,0,2271,4.600000000,0.503872762,-0.015,,0.517171209,0.298483751,0.288495457,0.371941237,0.000000014,0,0,0.416666665,0.083006536,0.509702451,
(CrHfMoTaTi)C5,,-0.546800000,0.576200000,0.081575700,0.288333141,0.173,0,2271,5.000000000,0.487280781,-0.104,,0.602391254,0.384820248,0.279029575,0.459825814,0.000000014,0,0,0.583333331,0.118110085,0.394566618,
(CrHfMoTaV)C5,,-0.452600000,0.670400000,0.086756363,0.284815730,0.173,0,2271,5.200000000,0.440622560,-0.104,,0.482574415,0.263433711,0.214578247,0.468093282,0.000000014,0,0,0.666666664,0.216824593,0.394566618,
(CrHfMoTaW)C5,,-0.384600000,0.738400000,0.073858295,0.400679423,0.173,0,2271,5.400000000,0.454987736,-0.169,,0.396082429,0.175808610,0.375039881,0.195762457,0.000000014,0,0,0.749999997,0.186432279,0.310478651,
(CrHfMoTaY)C5,,-0.388200000,0.734800000,0.084141251,0.333610551,0.173,0,2271,4.800000000,0.453216681,-0.104,,0.400661417,0.180447586,0.247112201,0.353403912,0.000000014,0,0,0.499999998,0.190179289,0.394566618,
(CrHfMoTaZr)C5,,-0.556600000,0.566400000,0.079052740,0.312921715,0.173,0,2271,5.000000000,0.496007500,-0.104,,0.614856276,0.397448571,0.310417086,0.402031809,0.000000014,0,0,0.583333331,0.099647021,0.394566618,
(CrHfMoTiV)C5,,-0.513800000,0.609200000,0.083338103,0.281026689,0.173,0,2271,5.000000000,0.484141880,0.085,,0.560417202,0.342296302,0.257103964,0.476999201,0.000000014,0,0,0.583333331,0.124751039,0.639068556,
(CrHfMoTiW)C5,,-0.445800000,0.677200000,0.077556495,0.395049364,0.173,0,2271,5.200000000,0.505551343,-0.169,,0.473925217,0.254671201,0.329031496,0.208995581,0.000000014,0,0,0.666666664,0.079455173,0.310478651,
(CrHfMoTiY)C5,,-0.449400000,0.673600000,0.093339747,0.332361249,0.173,0,2271,4.600000000,0.503520645,0.085,,0.478504204,0.259310177,0.132676005,0.356340324,0.000000014,0,0,0.416666665,0.083751507,0.639068556,
(CrHfMoTiZr)C5,,-0.617800000,0.505200000,0.086809578,0.311024115,0.173,0,2271,4.800000000,0.523009522,0.004,,0.692699063,0.476311162,0.213916211,0.406492008,0.000000014,0,0,0.499999998,0.042519013,0.534282011,
(CrHfMoVW)C5,,-0.351600000,0.771400000,0.082532130,0.384520481,0.173,0,2271,5.400000000,0.439612830,-0.169,,0.354108378,0.133284664,0.267130870,0.233743105,0.000000014,0,0,0.749999997,0.218960872,0.310478651,
