Composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,compound possible,max ionic char,avg ionic char,Miedema_deltaH_inter,Miedema_deltaH_amor,Miedema_deltaH_ss_min,Weight Fraction,Atomic Fraction,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Interant f electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,band center,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,transition metal fraction,HOMO_character,HOMO_element,HOMO_energy,LUMO_character,LUMO_element,LUMO_energy,gap_AO,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,dist from 3 clusters |APE| < 0.010,dist from 5 clusters |APE| < 0.010,EFA
(HfNbTaTiZr)C5,22,73,51,49.6,18.32,22,43,48,5,45.4,1.68,43,47.867,180.94788,133.08088,118.287052,49.1455104,47.867,1941,3290,1349,2523,397.6,1941,4,5,1,4.4,0.48,4,4,6,2,5.2,0.64,4,160,175,15,168.8,5.44,160,1.3,1.6,0.3,1.454,0.1112,1.3,1,2,1,1.8,0.32,1,0,0,0,0,0,0,2,4,2,2.6,0.72,2,0,14,14,5.6,6.72,0,4,19,15,10,6.8,4,0,1,1,0.2,0.32,0,0,0,0,0,0,0,6,8,2,7.4,0.72,6,0,0,0,0,0,0,7,8,1,7.6,0.48,7,16.69,23.195,6.505,19.677,2.4164,16.69,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,4.50667E-06,7.21067E-06,0,194,229,35,208,16.8,194,FALSE,0.022248763,0.003469618,0.102859295,0.181407788,0.082521668,Hf0.30179127297888864 Nb0.15708630560849549 Ta0.3059470617291231 Ti0.08093362576996169 Zr0.15424173391353094 ,Hf0.2Nb0.2Ta0.2Ti0.2Zr0.2,0.048591338,12.41173785,-0.005217577,3.76,1.066655874,-0.013380867,118.287052,591.43526,-5.667173874,0.063214504,0.132,4.4,2.72,6.642,14,1,0,13,0,46.518,0.275119352,6.7648,-0.034947222,3.656163725,5,0.447213595,0.341995189,0.275945932,0.25169979,0.234923789,0.6,d,Ti,-0.17001,s,Ti,-0.167106,0.002904,1.8,0,2.6,5.6,0.18,0,0.26,0.56,-0.005217577,0.01401942,0.063887656,0.063887656,0.069966306,99
(HfScTaTiZr)C5,21,73,52,45.6,21.52,21,11,48,37,38.2,10.88,11,44.955912,180.94788,135.991968,108.6969584,56.81758528,44.955912,1814,3290,1476,2335.8,449.76,1814,3,5,2,4,0.4,3,4,6,2,5,0.8,4,160,175,15,170,4,160,1.3,1.54,0.24,1.406,0.0912,1.3,2,2,0,2,0,2,0,0,0,0,0,0,1,3,2,2,0.4,1,0,14,14,5.6,6.72,0,3,19,16,9.6,7.12,3,0,0,0,0,0,0,0,0,0,0,0,0,7,9,2,8,0.4,7,0,0,0,0,0,0,7,9,2,8,0.4,7,16.69,23.195,6.505,20.488,2.4664,16.69,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,5.77667E-06,6.932E-06,0,194,229,35,201,11.2,194,FALSE,0.014296816,0.002284606,0.240688161,0.295457636,0.178641423,Hf0.3284176533131032 Sc0.08271788403602652 Ta0.33294009816561704 Ti0.08807422158741839 Zr0.16785014289783473 ,Hf0.2Sc0.2Ta0.2Ti0.2Zr0.2,0.051959757,4.883598231,-0.003873578,4.24,1.08250986,-0.013380867,108.6969584,543.484792,-4.956213782,0.076244366,0.156,4,6.4,5.908,10,0,0,10,0,45.282,0.306214661,7.4872,-0.043119734,3.565608904,5,0.447213595,0.341995189,0.275945932,0.25169979,0.234923789,0.4,d,Ti,-0.17001,d,Ti,-0.17001,0,2,0,2,5.6,0.208333333,0,0.208333333,0.583333333,-0.003873578,0.019417581,0.094280904,0.094280904,0.094280904,55
(HfNbTaTiV)C5,22,73,51,46.2,21.04,22,43,48,5,45.8,1.44,43,47.867,180.94788,133.08088,110.230552,55.5907104,47.867,1941,3290,1349,2534,388.8,1941,4,5,1,4.6,0.48,4,4,6,2,5,0.8,4,153,175,22,164.4,6.48,153,1.3,1.63,0.33,1.514,0.0912,1.3,1,2,1,1.8,0.32,1,0,0,0,0,0,0,2,4,2,2.8,0.64,2,0,14,14,5.6,6.72,0,4,19,15,10.2,6.64,4,0,1,1,0.2,0.32,0,0,0,0,0,0,0,6,8,2,7.2,0.64,6,0,0,0,0,0,0,7,8,1,7.4,0.48,7,13.01,22.2,9.19,17.64,2.232,13.01,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,4.50667E-06,7.21067E-06,0,194,229,35,215,16.8,194,FALSE,0.02685774,0.003344556,0.027482286,0.115753661,0.040140026,Hf0.3238485098033438 Nb0.16856738592763282 Ta0.32830803568869 Ti0.08684888015438767 V0.09242718842594563 ,Hf0.2Nb0.2Ta0.2Ti0.2V0.2,0.053749606,52.9798695,0.011522006,4.08,1.104842159,-0.013380867,110.230552,551.15276,-4.631628002,0.057172607,0.124,4.6,0.64,6.454,15,1,0,14,0,48.99,0.230067106,6.0824,-0.024822595,3.677699516,5,0.447213595,0.341995189,0.275945932,0.25169979,0.234923789,0.8,s,Ta,-0.174814,s,Ta,-0.174814,0,1.8,0,2.8,5.6,0.176470588,0,0.274509804,0.549019608,0.011522006,0.019614684,0.055901699,0.061225671,0.062290465,103
(HfMoNbTaTi)C5,22,73,51,50,18,22,43,50,7,46.6,2.08,43,47.867,180.94788,133.08088,119.234252,48.3877504,47.867,1941,3290,1349,2676.6,362.48,1941,4,6,2,4.8,0.64,4,4,6,2,5.2,0.64,4,154,175,21,164.6,6.32,154,1.3,2.16,0.86,1.62,0.216,1.3,1,2,1,1.6,0.48,1,0,0,0,0,0,0,2,5,3,3.2,1.04,2,0,14,14,5.6,6.72,0,4,19,15,10.4,6.48,4,0,1,1,0.4,0.48,0,0,0,0,0,0,0,5,8,3,6.8,1.04,5,0,0,0,0,0,0,6,8,2,7.2,0.64,6,15.69,22.2,6.51,18.176,1.6112,15.69,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,4.50667E-06,7.21067E-06,0,194,229,35,215,16.8,194,FALSE,0.168812602,0.019572678,-0.04711986,0.05570635,-0.01552209,Hf0.2994038794785069 Mo0.1609323110379738 Nb0.15584363605974766 Ta0.303526792847842 Ti0.08029338057592968 ,Hf0.2Mo0.2Nb0.2Ta0.2Ti0.2,0.045329455,24.87168617,-0.003740305,3.28,1.080956198,-0.013380867,119.234252,596.15126,-6.512132736,0.087589889,0.188,4.8,1.44,6.756,18,2,0,16,0,62.85,0.457396355,14.8792,-0.088381801,3.733344287,5,0.447213595,0.341995189,0.275945932,0.25169979,0.234923789,0.8,s,Ti,-0.167106,s,Hf,-0.166465,0.000641,1.6,0,3.2,5.6,0.153846154,0,0.307692308,0.538461538,-0.003740305,0.015556262,0.063887656,0.063887656,0.063887656,83
(MoNbTaTiV)C5,22,73,51,40.2,14.16,22,43,50,7,46.8,1.84,43,47.867,180.94788,133.08088,93.724552,35.7835104,47.867,1941,3290,1349,2612,440,1941,4,6,2,5,0.4,4,4,6,2,4.8,0.64,4,153,170,17,160.2,5.44,153,1.5,2.16,0.66,1.686,0.1896,1.5,1,2,1,1.6,0.48,1,0,0,0,0,0,0,2,5,3,3.4,0.88,2,0,14,14,2.8,4.48,0,4,19,15,7.8,4.48,4,0,1,1,0.4,0.48,0,0,0,0,0,0,0,5,8,3,6.6,0.88,5,0,0,0,0,0,0,6,8,2,7,0.4,6,13.01,18.18,5.17,16.338,1.5904,13.01,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,4.50667E-06,7.21067E-06,0,194,229,35,222,11.2,194,FALSE,0.103179905,0.013931543,-0.08863451,0.017003348,-0.05812521,Mo0.20473631013184812 Nb0.1982625539806893 Ta0.38614343628705894 Ti0.10214835269002683 V0.1087093469103767 ,Mo0.2Nb0.2Ta0.2Ti0.2V0.2,0.027213551,13.65266566,-0.004600666,2.08,1.048615668,-0.013380867,93.724552,468.60276,-18.0681552,0.068160802,0.152,5,2.56,6.53,19,2,0,17,0,61.556,0.476041443,14.8792,-0.094458969,3.780875888,5,0.447213595,0.341995189,0.275945932,0.25169979,0.234923789,1,d,Ti,-0.17001,d,Ti,-0.17001,0,1.6,0,3.4,2.8,0.205128205,0,0.435897436,0.358974359,-0.004600666,0.023151063,0.063887656,0.084149822,0.093250646,100
(NbTaTiVZr)C5,22,73,51,39.8,13.84,22,43,48,5,45.6,1.68,43,47.867,180.94788,133.08088,92.777352,35.3198224,47.867,1941,3290,1349,2458.4,449.28,1941,4,5,1,4.6,0.48,4,4,6,2,4.8,0.64,4,153,175,22,164.4,6.48,153,1.33,1.63,0.3,1.52,0.084,1.33,1,2,1,1.8,0.32,1,0,0,0,0,0,0,2,4,2,2.8,0.64,2,0,14,14,2.8,4.48,0,4,19,15,7.4,4.64,4,0,1,1,0.2,0.32,0,0,0,0,0,0,0,6,8,2,7.2,0.64,6,0,0,0,0,0,0,7,8,1,7.4,0.48,7,13.01,23.195,10.185,17.839,2.3912,13.01,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,4.50667E-06,7.21067E-06,0,194,229,35,215,16.8,194,FALSE,0.022248763,0.0027493,0.016004192,0.102964517,0.032425557,Nb0.20027814546808792 Ta0.39006907634095866 Ti0.10318682085257184 V0.1098145159391917 Zr0.19665144139918975 ,Nb0.2Ta0.2Ti0.2V0.2Zr0.2,0.053749606,102.7985092,0.011522006,4.08,1.104842159,-0.013380867,92.777352,463.88676,-4.631628002,0.070141465,0.148,4.6,0.32,6.416,15,1,0,14,0,45.224,0.274216394,6.2472,-0.033976643,3.702712691,5,0.447213595,0.341995189,0.275945932,0.25169979,0.234923789,0.8,s,Ta,-0.174814,s,Ta,-0.174814,0,1.8,0,2.8,2.8,0.243243243,0,0.378378378,0.378378378,0.011522006,0.019614684,0.055901699,0.061225671,0.062290465,80
(HfMoNbTaZr)C5,40,73,33,53.6,15.12,40,44,50,6,46.8,1.84,44,91.224,180.94788,89.72388,127.905652,41.4506304,91.224,2128,3290,1162,2714,317.6,2128,4,6,2,4.8,0.64,4,5,6,1,5.4,0.48,5,154,175,21,167.6,6.88,154,1.3,2.16,0.86,1.578,0.2416,1.3,1,2,1,1.6,0.48,1,0,0,0,0,0,0,2,5,3,3.2,1.04,2,0,14,14,5.6,6.72,0,4,19,15,10.4,6.48,4,0,1,1,0.4,0.48,0,0,0,0,0,0,0,5,8,3,6.8,1.04,5,0,0,0,0,0,0,6,8,2,7.2,0.64,6,15.69,23.195,7.505,19.477,2.5764,15.69,0,0,0,0,0,0,0,0,0,0,0,0,194,229,35,215,16.8,194,FALSE,0.168812602,0.022631517,-0.044067219,0.059690884,-0.005670959,Hf0.27910507363892373 Mo0.1500215180957944 Nb0.14527784207196948 Ta0.28294846418402786 Zr0.14264710200928443 ,Hf0.2Mo0.2Nb0.2Ta0.2Zr0.2,0.053260724,32.42470759,0.010215344,4.24,1.08031378,-0.013380867,127.905652,639.50826,-4.717046065,0.106060606,0.228,4.8,1.12,7.036,18,2,0,16,0,61.81,0.479836453,15.5616,-0.097448515,3.749781589,5,0.447213595,0.341995189,0.275945932,0.25169979,0.234923789,0.6,d,Mo,-0.153347,d,Mo,-0.153347,0,1.6,0,3.2,5.6,0.153846154,0,0.307692308,0.538461538,0.010215344,0.016001379,0.063887656,0.063887656,0.063887656,70
(HfNbTaTiW)C5,22,74,52,56.4,19.92,22,43,51,8,46.8,2.24,43,47.867,183.84,135.973,136.810252,53.1388496,47.867,1941,3695,1754,2836.4,524.88,1941,4,6,2,4.8,0.64,4,4,6,2,5.4,0.72,4,160,175,15,166.2,5.04,160,1.3,2.36,1.06,1.66,0.28,1.3,1,2,1,1.8,0.32,1,0,0,0,0,0,0,2,4,2,3,0.8,2,0,14,14,8.4,6.72,0,4,20,16,13.2,6.96,4,0,1,1,0.2,0.32,0,0,0,0,0,0,0,6,8,2,7,0.8,6,0,0,0,0,0,0,6,8,2,7.2,0.64,6,16.05,22.2,6.15,18.248,1.5808,16.05,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,4.50667E-06,7.21067E-06,0,194,229,35,215,16.8,194,FALSE,0.244896158,0.030127605,-0.107725239,0.008419597,-0.05652659,Hf0.26093073785142945 Nb0.13581786253854716 Ta0.2645238603902286 Ti0.06997575006294118 W0.2687517891568535 ,Hf0.2Nb0.2Ta0.2Ti0.2W0.2,0.051862609,13.95348919,0.011595107,3.92,1.099968728,-0.013380867,136.810252,684.05126,-4.974798808,0.100170933,0.212,4.8,2.72,7.172,16,1,0,15,0,70.29,0.609550671,20.8312,-0.143097327,3.820421787,5,0.447213595,0.341995189,0.275945932,0.25169979,0.234923789,0.8,s,Ta,-0.174814,d,Ti,-0.17001,0.004804,1.8,0,3,8.4,0.136363636,0,0.227272727,0.636363636,0.011595107,0.020253011,0.063887656,0.063887656,0.063887656,66
(MoNbTaTiZr)C5,22,73,51,43.6,11.76,22,43,50,7,46.4,2.32,43,47.867,180.94788,133.08088,101.781052,31.6667312,47.867,1941,3290,1349,2601,453.2,1941,4,6,2,4.8,0.64,4,4,6,2,5,0.4,4,154,175,21,164.6,6.32,154,1.33,2.16,0.83,1.626,0.2136,1.33,1,2,1,1.6,0.48,1,0,0,0,0,0,0,2,5,3,3.2,1.04,2,0,14,14,2.8,4.48,0,4,19,15,7.6,4.56,4,0,1,1,0.4,0.48,0,0,0,0,0,0,0,5,8,3,6.8,1.04,5,0,0,0,0,0,0,6,8,2,7.2,0.64,6,15.69,23.195,7.505,18.375,1.928,15.69,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,4.50667E-06,7.21067E-06,0,194,229,35,215,16.8,194,FALSE,0.158210251,0.018737688,-0.062858795,0.039206657,-0.025914043,Mo0.1885297286857945 Nb0.18256842416697233 Ta0.3555769723021649 Ti0.09406246115283433 Zr0.1792624136922339 ,Mo0.2Nb0.2Ta0.2Ti0.2Zr0.2,0.045329455,19.77479236,-0.003740305,3.28,1.080956198,-0.013380867,101.781052,508.88526,-6.512132736,0.098107084,0.212,4.8,1.76,6.718,18,2,0,16,0,59.084,0.52373626,15.5616,-0.113050418,3.758735919,5,0.447213595,0.341995189,0.275945932,0.25169979,0.234923789,0.8,s,Ti,-0.167106,s,Zr,-0.162391,0.004715,1.6,0,3.2,2.8,0.210526316,0,0.421052632,0.368421053,-0.003740305,0.015556262,0.063887656,0.063887656,0.063887656,72
(HfNbTaVZr)C5,23,73,50,49.8,18.16,23,44,48,4,46,1.2,44,50.9415,180.94788,130.00638,118.901952,48.6535904,50.9415,2128,3290,1162,2571.4,358.88,2128,4,5,1,4.6,0.48,4,4,6,2,5.2,0.64,4,153,175,22,167.4,7.12,153,1.3,1.63,0.33,1.472,0.1256,1.3,1,2,1,1.8,0.32,1,0,0,0,0,0,0,2,4,2,2.8,0.64,2,0,14,14,5.6,6.72,0,4,19,15,10.2,6.64,4,0,1,1,0.2,0.32,0,0,0,0,0,0,0,6,8,2,7.2,0.64,6,0,0,0,0,0,0,7,8,1,7.4,0.48,7,13.01,23.195,10.185,18.941,3.0052,13.01,0,0,0,0,0,0,0,0,0,0,0,0,194,229,35,215,16.8,194,FALSE,0.02685774,0.00454909,0.033846016,0.122602019,0.053020807,Hf0.3002305630777197 Nb0.15627393568778417 Ta0.304364860216929 V0.08568656635679117 Zr0.15344407466077598 ,Hf0.2Nb0.2Ta0.2V0.2Zr0.2,0.06277092,35.84120927,0.009727365,5.04,1.103991227,-0.013380867,118.901952,594.50976,-3.395996654,0.078003845,0.164,4.6,0.96,6.734,15,1,0,14,0,47.95,0.256638882,6.7648,-0.030792742,3.693891823,5,0.447213595,0.341995189,0.275945932,0.25169979,0.234923789,0.6,s,Ta,-0.174814,s,Ta,-0.174814,0,1.8,0,2.8,5.6,0.176470588,0,0.274509804,0.549019608,0.009727365,0.012688163,0.063887656,0.063887656,0.063887656,65
