Composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,compound possible,max ionic char,avg ionic char,Miedema_deltaH_inter,Miedema_deltaH_amor,Miedema_deltaH_ss_min,Weight Fraction,Atomic Fraction,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Interant f electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,Yang omega,Yang delta,band center,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,transition metal fraction,HOMO_character,HOMO_element,HOMO_energy,LUMO_character,LUMO_element,LUMO_energy,gap_AO,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,dist from 3 clusters |APE| < 0.010,dist from 5 clusters |APE| < 0.010,EFA
(TiZrHfVNbTaAgIr)C8,22,77,55,49.375,18.46875,22,43,65,22,49.75,6.375,43,47.867,192.217,144.35,117.807745,49.55791125,47.867,1234.93,3290,2055.07,2346.49125,474.75875,1234.93,4,11,7,5.875,2.0625,4,4,6,2,5.125,0.65625,4,141,175,34,160.375,10.625,141,1.3,2.2,0.9,1.62875,0.2184375,1.3,1,2,1,1.75,0.375,1,0,0,0,0,0,0,2,10,8,4.125,2.1875,2,0,14,14,5.25,6.5625,0,4,23,19,11.125,6.65625,4,0,1,1,0.25,0.375,0,0,0,0,0,0,0,0,8,8,5.875,2.1875,0,0,0,0,0,0,0,1,8,7,6.125,2.0625,1,13.01,23.195,10.185,17.741875,2.681875,13.01,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,2.81667E-06,4.92917E-06,0,194,229,35,214.875,15.65625,194,FALSE,0.183313517,0.018918143,-1.175247978,-0.943067505,-0.840579029,Ti0.05078931779909716 Zr0.09679329656976288 Hf0.18938695414295553 V0.054051518429454694 Nb0.09857838718498516 Ta0.1919948896398959 Ag0.11445363800147434 Ir0.20395199823237428 ,Ti0.125Zr0.125Hf0.125V0.125Nb0.125Ta0.125Ag0.125Ir0.125,0.057390748,2.135118945,0.008500928,4.5,1.104681279,-0.017288477,117.807745,942.46196,-5.248956368,0.146611306,0.309375,5.875,19,6.05125,25,2,0,23,0,64.705,0.867150798,23.3603125,-0.223504571,2.135118945,0.057390748,3.925082953,8,0.353553391,0.25,0.189464571,0.168237524,0.153893052,0.75,d,Ti,-0.17001,d,Ti,-0.17001,0,1.75,0,4.125,5.25,0.157303371,0,0.370786517,0.471910112,0.008500928,0.020736371,0.215864849,0.215864849,0.215864849,38.378
(TiZrHfVNbTaAgPt)C8,22,78,56,49.5,18.625,22,43,65,22,50.125,6.9375,43,47.867,195.084,147.217,118.16612,50.00588,47.867,1234.93,3290,2055.07,2259.29125,442.0315625,1234.93,4,11,7,6,2.25,4,4,6,2,5.125,0.65625,4,136,175,39,159.75,11.3125,136,1.3,2.28,0.98,1.63875,0.233125,1.3,1,2,1,1.625,0.46875,1,0,0,0,0,0,0,2,10,8,4.375,2.5625,2,0,14,14,5.25,6.5625,0,4,24,20,11.25,6.8125,4,0,1,1,0.375,0.46875,0,0,0,0,0,0,0,0,8,8,5.625,2.5625,0,0,0,0,0,0,0,1,8,7,6,2.25,1,13.01,23.195,10.185,17.843125,2.580625,13.01,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,2.81667E-06,4.92917E-06,0,194,229,35,214.875,15.65625,194,FALSE,0.213450798,0.021538631,-1.627113123,-1.341569439,-1.146958346,Ti0.05063528361598062 Zr0.0964997412117788 Hf0.1888125801202578 V0.05388759062242206 Nb0.09827941799222992 Ta0.1914126062529598 Ag0.11410652224173899 Pt0.20636625794263194 ,Ti0.125Zr0.125Hf0.125V0.125Nb0.125Ta0.125Ag0.125Pt0.125,0.054807967,1.477435641,-0.001122015,4.265625,1.104581043,-0.017288477,118.16612,945.32896,-5.755318242,0.153230088,0.3203125,6,26.4375,5.91375,28,3,0,25,0,46.095,0.281513318,7.315625,-0.037783331,1.477435641,0.054807967,3.945778591,8,0.353553391,0.25,0.189464571,0.168237524,0.153893052,0.75,d,Ti,-0.17001,d,Ti,-0.17001,0,1.625,0,4.375,5.25,0.144444444,0,0.388888889,0.466666667,-0.001122015,0.017630391,0.215864849,0.215864849,0.215864849,39.2675
(TiZrHfVNbTaCoIr)C8,22,77,55,46.875,20.34375,22,43,60,17,48.875,5.0625,43,47.867,192.217,144.35,111.6908694,54.14556797,47.867,1768,3290,1522,2413.125,408.125,1768,4,9,5,5.625,1.6875,4,4,6,2,5,0.75,4,126,175,49,158,13.5,126,1.3,2.2,0.9,1.6225,0.210625,1.3,1,2,1,1.875,0.21875,1,0,0,0,0,0,0,2,7,5,3.75,1.6875,2,0,14,14,5.25,6.5625,0,4,23,19,10.875,6.84375,4,0,1,1,0.125,0.21875,0,0,0,0,0,0,0,3,8,5,6.25,1.6875,3,0,0,0,0,0,0,3,8,5,6.375,1.6875,3,10.245,23.195,12.95,16.98125,3.4425,10.245,0,0,0,0,0,0,0,1.5484712,1.5484712,0.193561717,0.338727371,0,194,229,35,211,17,194,FALSE,0.183313517,0.018097001,-1.934050887,-1.606237721,-1.339013054,Ti0.05357085170418837 Zr0.10209428992547852 Hf0.19975894291851554 V0.05701171040777387 Nb0.10397714302866218 Ta0.20250970492546583 Co0.0659556991204591 Ir0.21512165796945656 ,Ti0.125Zr0.125Hf0.125V0.125Nb0.125Ta0.125Co0.125Ir0.125,0.074691706,1.327053869,-0.008791304,5.921875,1.151023427,-0.017288477,111.6908694,893.526955,-3.098931529,0.161909831,0.36796875,5.625,31.4375,6.23125,31,1,0,30,0,70.67625,0.77072881,23.74265625,-0.188716856,1.327053869,0.074691706,3.90615138,8,0.353553391,0.25,0.189464571,0.168237524,0.153893052,0.75,s,V,-0.175968,s,V,-0.175968,0,1.875,0,3.75,5.25,0.172413793,0,0.344827586,0.482758621,-0.008791304,0.020354218,0.215864849,0.215864849,0.215864849,54.4049
(TiZrHfVNbTaCoPd)C8,22,73,51,43,15.5,22,43,62,19,49.125,5.4375,43,47.867,180.94788,133.08088,100.9662444,40.73978672,47.867,1768,3290,1522,2299.25625,412.0578125,1768,4,10,6,5.75,1.875,4,4,6,2,4.875,0.65625,4,126,175,49,157.75,13.8125,126,1.3,2.2,0.9,1.6225,0.210625,1.3,0,2,2,1.625,0.5625,0,0,0,0,0,0,0,2,10,8,4.125,2.1875,2,0,14,14,3.5,5.25,0,4,19,15,9.25,4.8125,4,0,1,1,0.125,0.21875,0,0,0,0,0,0,0,0,8,8,5.875,2.1875,0,0,0,0,0,0,0,0,8,8,6,2.25,0,10.245,23.195,12.95,17.00625,3.4175,10.245,0,0,0,0,0,0,0,1.5484712,1.5484712,0.193561717,0.338727371,0,194,229,35,211,17,194,FALSE,0.183313517,0.018097001,-2.063788779,-1.723806702,-1.430782579,Ti0.05926114254361162 Zr0.11293873581796282 Hf0.22097731908432194 V0.063067488935705 Nb0.11502158540102675 Ta0.2240202667734416 Co0.07296150728989616 Pd0.13175195415403407 ,Ti0.125Zr0.125Hf0.125V0.125Nb0.125Ta0.125Co0.125Pd0.125,0.072310146,1.184376573,0.010036854,5.640625,1.150721436,-0.017288477,100.9662444,807.729955,-3.30642185,0.156778263,0.35703125,5.75,33.5625,5.85,24,1,0,23,0,50.8275,0.276981783,7.7728125,-0.03591469,1.184376573,0.072310146,3.817543326,8,0.353553391,0.25,0.189464571,0.168237524,0.153893052,0.75,d,Ti,-0.17001,s,Ti,-0.167106,0.002904,1.625,0,4.125,3.5,0.175675676,0,0.445945946,0.378378378,0.010036854,0.020019588,0.215864849,0.215864849,0.215864849,53.9946
(TiZrHfVNbTaCoPt)C8,22,78,56,47,20.5,22,43,63,20,49.25,5.625,43,47.867,195.084,147.217,112.0492444,54.59353672,47.867,1768,3290,1522,2325.925,392.05625,1768,4,10,6,5.75,1.875,4,4,6,2,5,0.75,4,126,175,49,157.375,14.28125,126,1.3,2.28,0.98,1.6325,0.22375,1.3,1,2,1,1.75,0.375,1,0,0,0,0,0,0,2,9,7,4,2,2,0,14,14,5.25,6.5625,0,4,24,20,11,7,4,0,1,1,0.25,0.375,0,0,0,0,0,0,0,1,8,7,6,2,1,0,0,0,0,0,0,2,8,6,6.25,1.875,2,10.245,23.195,12.95,17.0825,3.34125,10.245,0,0,0,0,0,0,0,1.5484712,1.5484712,0.193561717,0.338727371,0,194,229,35,211,17,194,FALSE,0.213450798,0.020746154,-2.337408148,-1.962270397,-1.612844879,Ti0.0533995122713651 Zr0.10176775455831806 Hf0.19912003980437373 V0.05682936583390948 Nb0.10364458559964296 Ta0.2018620038552134 Co0.06574474835676462 Pt0.21763198972041262 ,Ti0.125Zr0.125Hf0.125V0.125Nb0.125Ta0.125Co0.125Pt0.125,0.073176397,1.056465046,0.001181941,5.78125,1.150872243,-0.017288477,112.0492444,896.393955,-3.22860334,0.167188399,0.37890625,5.75,38.0625,6.09375,34,2,0,32,0,52.06625,0.278086857,8.17921875,-0.03700401,1.056465046,0.073176397,3.926747199,8,0.353553391,0.25,0.189464571,0.168237524,0.153893052,0.75,s,Ta,-0.174814,d,Ti,-0.17001,0.004804,1.75,0,4,5.25,0.159090909,0,0.363636364,0.477272727,0.001181941,0.018421069,0.215864849,0.215864849,0.215864849,55.7393
(TiZrHfVNbTaCoRu)C8,22,73,51,42.75,15.1875,22,43,58,15,48.375,4.3125,43,47.867,180.94788,133.08088,100.2974944,39.90384922,47.867,1768,3290,1522,2396.625,391.625,1768,4,9,5,5.5,1.5,4,4,6,2,4.875,0.65625,4,126,175,49,158.625,12.71875,126,1.3,2.2,0.9,1.6225,0.210625,1.3,1,2,1,1.75,0.375,1,0,0,0,0,0,0,2,7,5,3.75,1.6875,2,0,14,14,3.5,5.25,0,4,19,15,9,4.75,4,0,1,1,0.25,0.375,0,0,0,0,0,0,0,3,8,5,6.25,1.6875,3,0,0,0,0,0,0,3,8,5,6.5,1.5,3,10.245,23.195,12.95,16.89375,3.53,10.245,0,0,0,0,0,0,0,1.5484712,1.5484712,0.193561717,0.338727371,0,194,229,35,207.125,16.40625,194,FALSE,0.183313517,0.018097001,-1.604428714,-1.318904839,-1.123583577,Ti0.0596562759347596 Zr0.11369177336938831 Hf0.22245072161604534 V0.06348800176594639 Nb0.11578851069378969 Ta0.22551395865815213 Co0.0734479901108696 Ru0.1259627678510488 ,Ti0.125Zr0.125Hf0.125V0.125Nb0.125Ta0.125Co0.125Ru0.125,0.076049042,1.578437948,-0.008929308,6.015625,1.151124428,-0.017288477,100.2974944,802.379955,-2.98929818,0.154274136,0.3515625,5.5,26.25,6.20625,32,2,0,30,0,64.42625,0.60122275,18.27390625,-0.130335464,1.578437948,0.076049042,3.790991428,8,0.353553391,0.25,0.189464571,0.168237524,0.153893052,0.75,s,V,-0.175968,s,Ta,-0.174814,0.001154,1.75,0,3.75,3.5,0.194444444,0,0.416666667,0.388888889,-0.008929308,0.021348378,0.215864849,0.215864849,0.215864849,55.6657
(TiZrHfVNbTaCrIr)C8,22,77,55,46.5,20.625,22,43,60,17,47.75,3.4375,43,47.867,192.217,144.35,110.8237325,54.79592063,47.867,1941,3290,1349,2464.625,356.625,1941,4,9,5,5.25,1.125,4,4,6,2,5,0.75,4,139,175,36,159.625,11.46875,139,1.3,2.2,0.9,1.595,0.1775,1.3,1,2,1,1.75,0.375,1,0,0,0,0,0,0,2,7,5,3.5,1.375,2,0,14,14,5.25,6.5625,0,4,23,19,10.5,7.125,4,0,1,1,0.25,0.375,0,0,0,0,0,0,0,3,8,5,6.5,1.375,3,0,0,0,0,0,0,3,8,5,6.75,1.125,3,11.19,23.195,12.005,17.099375,3.324375,11.19,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,2.81667E-06,4.92917E-06,0,194,229,35,215.375,16.03125,194,FALSE,0.183313517,0.015948799,-1.524466729,-1.245317813,-1.040326972,Ti0.053990015180187145 Zr0.10289312354643894 Hf0.2013219506029541 V0.05745779677651625 Nb0.10479070897562487 Ta0.20409423586234113 Cr0.05864729831220943 Ir0.21680487074372812 ,Ti0.125Zr0.125Hf0.125V0.125Nb0.125Ta0.125Cr0.125Ir0.125,0.067748862,1.72595899,-0.000961684,5.375,1.124954214,-0.017288477,110.8237325,886.58986,-3.766627974,0.150298208,0.3328125,5.25,24.6875,6.195,30,2,0,28,0,75.71125,0.747455917,26.88953125,-0.197958706,1.72595899,0.067748862,3.838898379,8,0.353553391,0.25,0.189464571,0.168237524,0.153893052,0.75,d,Ti,-0.17001,d,Ti,-0.17001,0,1.75,0,3.5,5.25,0.166666667,0,0.333333333,0.5,-0.000961684,0.020772993,0.215864849,0.215864849,0.215864849,51.8985
(TiZrHfVNbTaCrPd)C8,22,73,51,42.625,15.78125,22,43,62,19,48,3.75,43,47.867,180.94788,133.08088,100.0991075,41.39013938,47.867,1828.05,3290,1461.95,2350.75625,373.4328125,1828.05,4,10,6,5.375,1.3125,4,4,6,2,4.875,0.65625,4,139,175,36,159.375,11.78125,139,1.3,2.2,0.9,1.595,0.1775,1.3,0,2,2,1.5,0.625,0,0,0,0,0,0,0,2,10,8,3.875,1.84375,2,0,14,14,3.5,5.25,0,4,19,15,8.875,5.09375,4,0,1,1,0.25,0.375,0,0,0,0,0,0,0,0,8,8,6.125,1.84375,0,0,0,0,0,0,0,0,8,8,6.375,1.6875,0,11.19,23.195,12.005,17.124375,3.299375,11.19,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,2.81667E-06,4.92917E-06,0,194,229,35,215.375,16.03125,194,FALSE,0.183313517,0.015948799,-1.649440143,-1.358726985,-1.148236802,Ti0.059774508978514114 Zr0.11391709961050352 Hf0.22289159770979977 V0.06361382892449864 Nb0.11601799246811466 Ta0.22596090579528894 Cr0.06493077373342214 Pd0.1328932927798582 ,Ti0.125Zr0.125Hf0.125V0.125Nb0.125Ta0.125Cr0.125Pd0.125,0.064866464,1.519289544,0.008109887,5.09375,1.124709835,-0.017288477,100.0991075,800.79286,-4.108812133,0.144237957,0.321875,5.375,26.75,5.81375,23,2,0,21,0,55.8625,0.450515278,12.1784375,-0.079592217,1.519289544,0.064866464,3.751815908,8,0.353553391,0.25,0.189464571,0.168237524,0.153893052,0.75,d,Pd,-0.160771,d,Pd,-0.160771,0,1.5,0,3.875,3.5,0.169014085,0,0.436619718,0.394366197,0.008109887,0.016812672,0.215864849,0.215864849,0.215864849,57.1249
(TiZrHfVNbTaCrPt)C8,22,78,56,46.625,20.78125,22,43,63,20,48.125,3.9375,43,47.867,195.084,147.217,111.1821075,55.24388938,47.867,1941,3290,1349,2377.425,353.43125,1941,4,10,6,5.375,1.3125,4,4,6,2,5,0.75,4,136,175,39,159,12.25,136,1.3,2.28,0.98,1.605,0.18875,1.3,1,2,1,1.625,0.46875,1,0,0,0,0,0,0,2,9,7,3.75,1.6875,2,0,14,14,5.25,6.5625,0,4,24,20,10.625,7.28125,4,0,1,1,0.375,0.46875,0,0,0,0,0,0,0,1,8,7,6.25,1.6875,1,0,0,0,0,0,0,2,8,6,6.625,1.3125,2,11.19,23.195,12.005,17.200625,3.223125,11.19,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,2.81667E-06,4.92917E-06,0,194,229,35,215.375,16.03125,194,FALSE,0.213450798,0.018713346,-1.938635027,-1.610900318,-1.34091723,Ti0.05381598833247517 Zr0.10256146655611831 Hf0.20067302645796672 V0.05727259217495945 Nb0.10445293546895573 Ta0.20343637576756674 Cr0.05845825957202691 Pt0.21932935566993098 ,Ti0.125Zr0.125Hf0.125V0.125Nb0.125Ta0.125Cr0.125Pt0.125,0.065955251,1.307421308,0.008029692,5.234375,1.124831875,-0.017288477,111.1821075,889.45686,-3.974275569,0.156453226,0.34375,5.375,31.4375,6.0575,33,3,0,30,0,57.10125,0.440382341,12.58484375,-0.077982843,1.307421308,0.065955251,3.859139596,8,0.353553391,0.25,0.189464571,0.168237524,0.153893052,0.75,d,Ti,-0.17001,d,Ti,-0.17001,0,1.625,0,3.75,5.25,0.152941176,0,0.352941176,0.494117647,0.008029692,0.017527985,0.215864849,0.215864849,0.215864849,58.2622
(TiZrHfVNbTaCrRu)C8,22,73,51,42.375,15.46875,22,43,56,13,47.25,2.8125,43,47.867,180.94788,133.08088,99.4303575,40.55420188,47.867,1941,3290,1349,2448.125,340.125,1941,4,8,4,5.125,0.9375,4,4,6,2,4.875,0.65625,4,139,175,36,160.25,10.75,139,1.3,2.2,0.9,1.595,0.1775,1.3,1,2,1,1.625,0.46875,1,0,0,0,0,0,0,2,7,5,3.5,1.375,2,0,14,14,3.5,5.25,0,4,19,15,8.625,4.9375,4,0,1,1,0.375,0.46875,0,0,0,0,0,0,0,3,8,5,6.5,1.375,3,0,0,0,0,0,0,4,8,4,6.875,0.9375,4,11.19,23.195,12.005,17.011875,3.411875,11.19,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,2.81667E-06,4.92917E-06,0,194,229,35,211.5,17.5,194,FALSE,0.183313517,0.015948799,-1.181365399,-0.946139697,-0.796272018,Ti0.060176541153439976 Zr0.11468328473021933 Hf0.2243907249352895 V0.06404168364777325 Nb0.11679830780051252 Ta0.22748067661327676 Cr0.0653674859813312 Ru0.12706129513815737 ,Ti0.125Zr0.125Hf0.125V0.125Nb0.125Ta0.125Cr0.125Ru0.125,0.069315481,2.198667673,0.008727561,5.46875,1.125035941,-0.017288477,99.4303575,795.44286,-3.598290745,0.141249362,0.31640625,5.125,19.25,6.17,31,3,0,28,0,69.46125,0.610554741,21.42078125,-0.148164481,2.198667673,0.069315481,3.725721159,8,0.353553391,0.25,0.189464571,0.168237524,0.153893052,0.75,d,Ti,-0.17001,d,Ti,-0.17001,0,1.625,0,3.5,3.5,0.188405797,0,0.405797101,0.405797101,0.008727561,0.022118704,0.215864849,0.215864849,0.215864849,50.2941
